,_latitude,_longitude,238_frequency_buying_store,81_number_online_purchases_month,288_number_app_purchases_month,289_number_whatsapp_purchases_month,83_willingness_ultrafast_delivery,84_willingness_sameday_delivery,241_age_of_the_interviewee,283_fulfill_needs,305_electricity_bill_store,306_water_bill_store
349,19.0222964781,-98.2611456999,1,6,0,8,30,50,68,no,yes,yes
350,19.022131044,-98.2605484483,4,1,3,8,30,50,44,yes,no,no
351,19.0217736923,-98.2603235827,3,5,2,6,40,80,54,yes,no,no
352,19.0210555913,-98.2605454513,1,5,12,0,80,150,19,yes,no,no
353,19.0208187793,-98.2606651265,2,4,4,2,30,75,28,yes,no,no
354,19.0189637053,-98.2618381108,1,2,0,3,25,60,52,no,no,no
355,19.0194155786,-98.2614185927,1,5,15,0,50,100,17,yes,no,no
356,19.0203937492,-98.2609013002,3,4,12,1,65,120,38,yes,no,no
357,19.020082159,-98.261080552,1,6,10,6,50,100,22,yes,yes,yes
358,19.0577741584,-98.2224561327,1,0,0,5,100,80,35,no,no,no
359,19.0598775644,-98.2279899669,1,2,7,0,0,0,30,yes,no,no
360,19.06009126,-98.2277619174,1,2,7,0,40,70,24,yes,no,no
361,19.0579026417,-98.2223518282,1,0,0,0,0,0,45,yes,no,no
362,19.0599489285,-98.2277992196,1,6,5,0,0,0,18,yes,no,no
363,19.0599946207,-98.2278069689,1,8,4,0,0,0,22,yes,no,no
364,19.0600125649,-98.2279501444,1,0,0,2,50,100,45,yes,no,no
365,19.0579616816,-98.2224507951,1,2,1,0,0,0,60,yes,no,no
366,19.0423914961,-98.2208566368,2,5,20,15,30,30,23,yes,no,no
367,19.0432139247,-98.2198474556,1,10,7,2,45,45,45,no,no,no
368,19.0346021504,-98.2641407847,2,8,12,0,70,150,18,yes,yes,yes
369,19.0350601336,-98.2666493207,1,10,0,0,50,100,20,yes,yes,yes
370,19.0352236761,-98.2671002671,1,15,10,0,100,100,15,yes,no,no
371,19.0352804088,-98.2678556442,1,1,1,0,50,70,21,yes,no,no
372,19.0354511,-98.2678617,1,3,2,0,0,0,18,yes,no,no
373,19.0354858,-98.2678314,1,2,4,0,30,100,18,yes,no,no
374,19.0353989453,-98.2679243758,1,0,3,0,150,1000,18,yes,no,no
