,_latitude,_longitude,97_number_of_customers_in_store,268_number_fridges,104_how_many_shelves_does_the_micro_retailer_have,2_current_permanent_employees,4_number_permanent_employees_last_year,145_number_direct_competitors,272_card_days_receive_money,276_expected_days_informal_credit,36_credit_default_rate,62_frequency_only_services,103_number_own_fridges,24_burnout,172_supplier_frequency,163_number_high_perishable_products,108_does_the_micro_retailer_has_a_barred_window_,99_does_the_micro_retailer_exhibits_products_outside_,102_does_the_micro_retailer_sells_fresh_products_
134,19.021045,-98.217676,1,2.0,2,3.0,8.0,5.0,1.0,1.0,1.0,2.0,0.0,7.0,2.0,32.0,yes,no,yes
135,19.0417481554,-98.2212818134,1,1.0,1,2.0,3.0,4.0,1.0,1.0,1.0,3.0,0.0,4.0,2.0,10.0,no,no,yes
136,19.043657456,-98.2201838104,0,0.0,4,2.0,3.0,2.0,1.0,1.0,1.0,3.0,1.0,4.0,1.0,0.0,no,yes,no
137,19.0422878913,-98.2208330434,0,1.0,3,0.0,0.0,6.0,1.0,1.0,1.0,3.0,1.0,4.0,4.0,8.0,no,yes,yes
138,19.0434214009,-98.2203685488,0,0.0,1,1.0,2.0,1.0,1.0,1.0,1.0,3.0,0.0,4.0,1.0,0.0,no,no,no
139,19.0421551917,-98.2210026026,2,3.0,7,1.0,0.0,4.0,1.0,1.0,1.0,3.0,0.0,4.0,4.0,2.0,no,no,no
140,19.0444061161,-98.2199920198,0,0.0,0,1.0,2.0,2.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,0.0,yes,yes,no
141,19.0423835489,-98.2208322113,0,1.0,4,0.0,0.0,6.0,1.0,1.0,1.0,8.0,1.0,4.0,2.0,2.0,no,yes,yes
142,19.0414639052,-98.2214231845,2,1.0,0,3.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,1.0,2.0,3.0,no,no,yes
143,19.0409686264,-98.2214876029,0,0.0,4,1.0,2.0,0.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,0.0,no,no,no
144,19.0418224803,-98.2212611005,1,2.0,1,2.0,2.0,5.0,1.0,1.0,1.0,8.0,1.0,4.0,1.0,5.0,no,no,yes
145,19.0412258711,-98.2215140911,0,0.0,0,2.0,3.0,1.0,1.0,1.0,1.0,8.0,2.0,4.0,1.0,0.0,no,no,no
146,19.0425855673,-98.2208079954,0,0.0,2,2.0,1.0,4.0,1.0,1.0,1.0,8.0,2.0,4.0,1.0,0.0,no,yes,no
147,19.047949164,-98.2153495819,0,0.0,3,0.0,0.0,3.0,1.0,1.0,1.0,8.0,2.0,4.0,1.0,4.0,yes,yes,no
148,19.0408630157,-98.2218344306,3,2.0,2,2.0,2.0,8.0,1.0,1.0,1.0,10.0,2.0,1.0,1.0,3.0,no,no,yes
149,19.0472081696,-98.2164242172,3,1.0,1,2.0,3.0,10.0,1.0,1.0,1.0,10.0,1.0,1.0,2.0,6.0,no,no,yes
150,19.0427704402,-98.2207813901,0,0.0,3,1.0,2.0,2.0,1.0,1.0,1.0,5.0,1.0,1.0,2.0,0.0,yes,no,no
151,19.0416289221,-98.2213921543,1,1.0,1,1.0,2.0,3.0,1.0,1.0,1.0,12.0,1.0,1.0,2.0,3.0,no,no,yes
152,19.0427882818,-98.2206806336,0,1.0,1,1.0,2.0,0.0,1.0,1.0,1.0,12.0,1.0,2.0,4.0,4.0,no,yes,yes
153,19.0477661292,-98.2161757466,8,3.0,10,3.0,3.0,5.0,1.0,1.0,1.0,12.0,3.0,2.0,7.0,4.0,no,yes,no
154,19.0434835111,-98.2203426225,2,2.0,2,4.0,3.0,3.0,1.0,1.0,1.0,7.0,2.0,7.0,1.0,10.0,yes,no,yes
155,19.0192903,-98.2148591,3,2.0,2,0.0,0.0,3.0,1.0,1.0,1.0,7.0,0.0,7.0,2.0,0.0,yes,yes,yes
156,19.0195832,-98.2161905,2,1.0,2,0.0,0.0,3.0,1.0,1.0,1.0,7.0,0.0,7.0,2.0,0.0,yes,no,yes
157,19.018353,-98.215619,2,4.0,8,0.0,0.0,3.0,1.0,1.0,1.0,7.0,0.0,7.0,2.0,0.0,no,yes,yes
158,19.0103033,-98.2306476,0,0.0,3,2.0,2.0,5.0,1.0,1.0,1.0,8.0,2.0,1.0,7.0,0.0,yes,no,no
